3532306271	1140
3532306312	2260
3532306343	300
3532306371	4760
3532306396	1020
3532306418	5780
3532306645	460
3532306655	3180
3532306681	2100
3532306722	1880
3532306734	2020
3532306734	1740
3532306753	1160
3532306776	260
3532306782	320
3532306797	1640
3532306845	220
3532306846	720
3532306922	420
3532306930	2380
3532306949	620
3532307004	760
3532307025	1600
3532307060	3520
3532307154	740
3532307184	460
3532307205	3100
3532307294	260
3532307343	10360
3532307378	580
3532307443	1360
3532307509	320
3532307549	900
3532307602	420
3532307617	200
3532307678	2340
3532307710	1480
3532307719	1000
3532307755	4980
3532307820	2120
3532307887	640
3532307902	640
3532307915	1060
3532308061	5000
3532308162	800
3532308176	160
3532308245	2040
3532308274	2020
3532308291	2340
3532308328	5620
3532308524	6960
3532308535	2120
3532308582	740
3532308682	480
3532308749	760
3532308920	6140
3532308946	440
3532309020	7280
3532309167	140
3532309207	3740
3532309218	820
3532309282	440
3532309396	280
3532309435	1500
3532309478	3200
3532309662	2640
3532309802	10820
3532309824	2600
3532309880	2960
3532309924	500
3532309940	7460
3532309962	3280
3532310018	1280
3532310084	280
3532310089	220
3532310159	300
3532310194	1920
3532310262	2360
3532310393	4320
3532310477	3500
3532310479	5200
3532310565	180
3532310584	1780
3532310617	16860
3532310715	3080
3532310821	1560
3532310857	2060
3532310943	740
3532310975	580
3532311010	320
3532311014	3600
3532311069	480
3532311096	2100
3532311208	4680
3532311216	2100
3532311258	1780
3532311268	4320
3532311301	3020
3532311306	480
3532311318	3920
3532311407	1940
3532311569	120
3532311577	1760
3532311661	1480
3532311800	720
3532311876	480
3532311916	2980
3532312075	6900
3532312142	660
3532312157	260
3532312294	1960
3532312305	8800
3532312343	980
3532312383	6800
3532312390	15000
3532312401	100
3532312475	1280
3532312498	380
3532312635	2280
3532312646	920
3532312698	400
3532312751	480
3532312801	6160
3532312811	9280
3532312848	2280
3532312929	100
3532312938	820
3532313125	1820
3532313139	2380
3532313156	440
3532313182	960
3532313191	1120
3532313234	1120
3532313263	1280
3532313267	1080
3532313283	300
3532313291	7180
3532313301	1160
3532313429	1660
3532313473	2100
3532313517	920
3532313606	3460
3532313791	7480
3532313856	4320
3532313866	2100
3532313933	580
3532313936	1360
3532314038	680
3532314329	620
3532314400	280
3532314410	2080
3532314455	500
3532314506	100
3532314509	4580
3532314548	10580
3532314684	3620
3532314732	2840
3532314733	2060
3532314822	12860
3532314947	1260
3532315165	9300
3532315248	10820
3532315257	3840
3532315277	540
3532315367	340
3532315391	1380
3532315393	4860
3532315537	560
3532315552	3440
3532315576	1800
3532315602	240
3532315800	340
3532315836	540
3532315847	300
3532315912	740
3532316074	1840
3532316174	3960
3532316183	2700
3532316216	140
3532316272	1380
3532316338	5620
3532316385	1720
3532316427	860
3532316441	3500
3532316451	700
3532316456	140
3532316517	860
3532316534	1360
3532316558	8740
3532316607	640
3532316747	2960
3532316769	6900
3532316837	1320
3532316900	700
3532317020	8440
3532317100	1920
3532317134	660
3532317181	5780
3532317190	3040
3532317276	1540
